Title,Manufacturer,Price,Link,Category,Image,Store
"ASUS PRIME B660-PLUS D4, Intel B660 (LGA 1700) ATX",ASUS,8.198 ден.,https://ddstore.mk/asus-prime-b660-plus-d4-intel-b660-lga-1700-atx-motherboard-with-8-power-stages-pcie-4-0-slots-three-m-2-slots-realtek-2-5gb-ethe.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/992914.jpg,DDStore
"ASUS PRIME Z790-A WIFI, Intel Socket LGA1700 for 13th",ASUS,18.499 ден.,https://ddstore.mk/asus-prime-z790-a-wifi-intel-socket-lga1700-for-13th-gen-intel-core-processors-12th-gen-intel-core-pentium-gold-and-celeron-process.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/992915.jpg,DDStore
"ASUS TUF GAMING B650-PLUS WIFI, Socket AM5 (LGA 1718) Ryzen 7000 ATX",ASUS,10.999 ден.,https://ddstore.mk/asus-tuf-gaming-b650-plus-wifi-socket-am5-lga-1718-ryzen-7000-atx-gaming-motherboard-14-power-stages-pcie-5-0-m-2-support-ddr5-me.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/993392_61_w.jpg,DDStore
MB Gigabyte B760 GAMING X DDR4 LGA1700 5333MHz OC SATA3 3xM.2 USB3.2/Type-C PCIe 4.0 DP/HDMI,Gigabyte,9.280 ден.,https://ddstore.mk/mb-gigabyte-b760-gaming-x-ddr4-lga1700-5333mhz-oc-sata3-3xm-2-usb3-2-type-c-pcie-4-0-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/995535_85_w.jpg,DDStore
"AFOX MOTHERBOARD AFB250-ETH12EX LGA1151, Intel B250 2xDDR4-3000",Intel,12.318 ден.,https://ddstore.mk/afox-motherboard-afb250-eth12ex-lga1151-intel-b250-2xddr4-3000-1xpci-ex16-11xpci-ex1-afox-ram-4gb-ddr4-2666mhz-dimm-intel-celer.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/995920.jpg,DDStore
MB Gigabyte B760 GAMING X DDR5 LGA1700 7600MHz OC SATA3 3xM.2 USB3.2/Type-C PCIe 4.0 DP/HDMI,Gigabyte,9.580 ден.,https://ddstore.mk/mb-gigabyte-b760-gaming-x-ddr5-lga1700-7600mhz-oc-sata3-3xm-2-usb3-2-type-c-pcie-4-0-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/996203_28_w.jpg,DDStore
MB Gigabyte B760 GAMING X AX DDR5 LGA1700 7600MHz OC SATA3 3xM.2 WiFi BT Type-C PCIe 4.0 DP/HDMI,Gigabyte,10.779 ден.,https://ddstore.mk/mb-gigabyte-b760-gaming-x-ax-ddr5-lga1700-7600mhz-oc-sata3-3xm-2-wifi-bt-type-c-pcie-4-0-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/996204_64_w.jpg,DDStore
"ASUS TUF GAMING B550M-PLUS, AM4, DDR4, PCIe 4.0, dual M.2",ASUS,7.471 ден.,https://ddstore.mk/computercomponents/motherboards/tuf-gaming-b550m-plus-am4-ddr4-broj-utora-4-2133-2400-2666-2800-3000-3200-3466-3600-3866-4000-4133mhz-pcie3-0x16-1-pciex4-1-pciex1-1-sata3-4-raid-0-1-8-kanalni-audio-1x-10-100-1000-ethernet-dpx1-usb2-0x3-matx-m-2x2-usb3-1x6,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/985153_61_w.jpg,DDStore
"MB AM4 B550 GAMING X V2 GIGABYTE 4xDDR4 4733Mhz (O.C), DVI-D, HDMI, PCI-Ex16, 2xPCI-Ex4,3xPCI-Ex1, 2xM.2, 4xSATA3", ,7.376 ден.,https://ddstore.mk/mb-am4-b550-gaming-x-v2-gigabyte-4xddr4-4733mhz-o-c-dvi-d-hdmi-pci-ex16-2xpci-ex4-3xpci-ex1-2xm-2-4xsata3.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/996836-product_9649_0.png,DDStore
"GIGABYTE MB 13th and 12th Gen i9/i7/i5/i3/Pen/Cele, B760M, LGA1700, 4 x DDR4", ,6.817 ден.,https://ddstore.mk/gigabyte-mb-13th-and-12th-gen-i9-i7-i5-i3-pen-cele-b760m-lga1700-4-x-ddr4-2-x-usb-2-0-1-x-hdmi-2-x-displayports-3-x-usb-3-2-gen-1-1-x-usb-type-c-1-x-rj-45-port-3-x-audio-jacks.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/997305_84_w.png,DDStore
