Title,Price,Old Price,Link,Category,Store
ASUS PRIME B760-PLUS D4,"9,299 Ден.","9,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760-plus-d433752,Motherboard,Setec
ASUS PRIME B760M-A WIFI,"9,299 Ден.","10,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760m-a-wifi34670,Motherboard,Setec
ASUS PRIME B760-PLUS,"9,599 Ден.","10,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760-plus33751,Motherboard,Setec
ASUS ROG STRIX B550-A GAMING,"9,799 Ден.","10,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=58485,Motherboard,Setec
ASUS PRIME B760M-A D4,"9,999 Ден.","10,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760m-a-d432898,Motherboard,Setec
ASUS PRIME B760M-A D4-CSM,"9,999 Ден.","10,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760m-a-d4-csm33949,Motherboard,Setec
ASUS ROG STRIX B550-F GAMING,"9,999 Ден.","11,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=24865,Motherboard,Setec
ASUS TUF GAMING B660-PLUS WIFI D4,"9,999 Ден.","11,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b660-plus-wifi-d432782,Motherboard,Setec
ASUS PRIME B840M-A WIFI,"10,499 Ден.","11,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61912,Motherboard,Setec
ASUS TUF GAMING B660M-PLUS WIFI,"10,499 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b660m-plus-wifi32712,Motherboard,Setec
ASUS TUF GAMING B650-PLUS WIFI,"10,999 Ден.","13,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b650-plus-wifi,Motherboard,Setec
ASUS TUF GAMING B760-PLUS WIFI D4,"11,299 Ден.","12,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b760-plus-wifi-d432899,Motherboard,Setec
ASUS TUF GAMING B760M-PLUS WIFI,"11,299 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=58479,Motherboard,Setec
ASUS ASUS ROG STRIX B560-G Wifi,"11,399 Ден.","11,799 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-asus-rog-strix-b560-g-wifi27886,Motherboard,Setec
ASUS TUF GAMING B760M-PLUS WIFI II,"11,499 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61395,Motherboard,Setec
AFOX MOTHERBOARD AFB250-ETH12EX LGA1151,"11,999 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/afox-motherboard-afb250-eth12ex-lga115130970,Motherboard,Setec
ASUS PRIME B650M-A,"11,999 Ден.","12,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b650m-a32837,Motherboard,Setec
ASUS PRIME B650M-A II,"11,999 Ден.","12,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b650m-a-ii32929,Motherboard,Setec
ASUS PRIME B860M-A WIFI,"11,999 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61905,Motherboard,Setec
ASUS ROG STRIX B760-I GAMING WIFI 6E,"11,999 Ден.","13,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61394,Motherboard,Setec
ASUS PRIME B840-PLUS WIFI,"12,299 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61911,Motherboard,Setec
ASUS TUF GAMING B650M-PLUS,"12,499 Ден.","13,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b650m-plus32730,Motherboard,Setec
AFOX MOTHERBOARD AFB250-ETH12EX LGA1151 + G4400 CPU + 4GB DDR4 2166MHZ,"12,999 Ден.","13,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/afox-motherboard-afb250-eth12ex-lga1151-g4400-cpu-4gb-ddr4-2166mhz30894,Motherboard,Setec
ASUS PRIME B860-PLUS WIFI,"12,999 Ден.","13,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61906,Motherboard,Setec
ASUS PRIME Z690-P D4,"12,999 Ден.","13,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-z690-p-d428905,Motherboard,Setec
ASUS ROG STRIX B660-A GAMING WIFI D4,"12,999 Ден.","14,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-rog-strix-b660-a-gaming-wifi-d430960,Motherboard,Setec
ASUS TUF GAMING B650M-PLUS WIFI,"12,999 Ден.","14,199 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=58484,Motherboard,Setec
ASUS PRIME Z690-P D4-CSM,"13,499 Ден.","13,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-z690-p-d4-csm30972,Motherboard,Setec
ASUS ROG STRIX B760-A GAMING WIFI,"13,499 Ден.","14,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=58280,Motherboard,Setec
ASUS PROART B760-CREATOR,"13,999 Ден.","15,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-proart-b760-creator33749,Motherboard,Setec
ASUS TUF GAMING B850M-PLUS,"13,999 Ден.","14,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61910,Motherboard,Setec
ASUS PRIME Z790M-Plus D4,"14,299 Ден.","15,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-z790m-plus-d432777,Motherboard,Setec
ASUS TUF GAMING B650-PLUS,"14,799 Ден.","15,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b650-plus32682,Motherboard,Setec
ASUS TUF GAMING Z690-PLUS D4,"14,995 Ден.","16,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-z690-plus-d428903,Motherboard,Setec
ASUS PRIME Z790-P,"14,999 Ден.","17,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-z790-p32733,Motherboard,Setec
ASUS PRIME Z790-P D4,"14,999 Ден.","15,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-z790-p-d432732,Motherboard,Setec
ASUS TUF GAMING Z790-PLUS WIFI,"14,999 Ден.","17,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=58478,Motherboard,Setec
ASUS PRIME X670-P WiFi,"15,499 Ден.","16,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61479,Motherboard,Setec
ASUS TUF GAMING B850-PLUS WIFI,"15,499 Ден.","16,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61909,Motherboard,Setec
ASUS TUF GAMING B860M-PLUS WIFI,"15,499 Ден.","17,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61904,Motherboard,Setec
ASUS ROG STRIX B760-F GAMING WIFI,"15,999 Ден.","17,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-rog-strix-b760-f-gaming-wifi32924,Motherboard,Setec
ASUS TUF GAMING B860-PLUS WIFI,"15,999 Ден.","17,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61903,Motherboard,Setec
ASUS TUF GAMING X670E-PLUS,"16,999 Ден.","20,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-x670e-plus33708,Motherboard,Setec
ASUS PRIME X870-P,"17,499 Ден.","19,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61162,Motherboard,Setec
ASUS ROG STRIX B850-A GAMING WIFI,"17,499 Ден.","18,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61908,Motherboard,Setec
ASUS PRIME Z790-A WIFI,"18,499 Ден.","21,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-z790-a-wifi32776,Motherboard,Setec
ASUS ROG STRIX B850-F GAMING WIFI,"18,499 Ден.","19,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61907,Motherboard,Setec
ASUS ROG STRIX X570-F Gaming,"18,799 Ден.","18,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-rog-strix-x570-f-gaming24847,Motherboard,Setec
Intel Celeron G4900 3.10GHz Tray,"1,199 Ден.","2,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-celeron-g4900-310ghz-tray33286,CPU,Setec
Intel Celeron G3900 2.8G G3900 2M Cache,"1,999 Ден.","2,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-celeron-g3900-28g-g3900-2m-cache33183,CPU,Setec
Intel Celeron G5905 3.5GHz Box,"2,499 Ден.","2,649 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-celeron-g5905-35ghz-box33496,CPU,Setec
AMD A6-Series X2 5400K 3.60GHz,No Price,No Old Price,https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/amd-a6-series-x2-5400k-360ghz34337,CPU,Setec
Intel Celeron G3900 2.9GHz Tray,No Price,No Old Price,https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-celeron-g3900-29ghz-tray33483,CPU,Setec
Intel i3-10100F 3.6 GHz up to 4.3 GHz,"3,699 Ден.","3,799 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=61201,CPU,Setec
Intel G3260 3.30GHz Box,"3,899 Ден.","4,199 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-g3260-330ghz-box33156,CPU,Setec
Intel G1830  2.80GHz Box,No Price,No Old Price,https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-g1830-280ghz-box33214,CPU,Setec
Intel i3-10100F 3.6 GHz up to 4.3 GHz,"3,999 Ден.","4,199 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i3-10100f-36-ghz-up-to-43-ghz33488,CPU,Setec
Intel i3-10105F 3.6 GHz up to 4.4 GHz,"4,249 Ден.","4,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i3-10105f-36-ghz-up-to-44-ghz34833,CPU,Setec
Intel Core i3 12100F LGA1700 12MB Cache 3,"4,799 Ден.","5,299 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-core-i3-12100f-lga1700-12mb-cache-333576,CPU,Setec
Intel i3-14100F LGA1700 12MB Cache 4.7GHz,"4,899 Ден.","5,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=58510,CPU,Setec
Intel i5-11400F 2.6 GHz up to 4.6 GHz,"5,699 Ден.","5,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=33629,CPU,Setec
Intel i5-11400F 2.6 GHz up to 4.6 GHz,"5,999 Ден.","6,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i5-11400f-26-ghz-up-to-46-ghz33525,CPU,Setec
Intel i5 12400F  BOX,"6,799 Ден.","7,199 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i5-12400f-box33575,CPU,Setec
Intel Core i3 12100 LGA1700 12MB Cache 3,"6,999 Ден.","7,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-core-i3-12100-lga1700-12mb-cache-333577,CPU,Setec
CPU AMD Ryzen 5 5600G Box 3.9GHz,"7,499 Ден.","8,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-5-5600g-box-39ghz-34410,CPU,Setec
CPU AMD Ryzen 5 5600X Box,"7,499 Ден.","7,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-5-5600x-box34403,CPU,Setec
Intel i3-13100 4.5GHz BOX,"8,799 Ден.","8,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i3-13100-45ghz-box34690,CPU,Setec
Intel i5 12400  BOX,"9,499 Ден.","9,799 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i5-12400-box33574,CPU,Setec
Intel i5-11400 2.6 GHz up to 4.6 GHz,"9,499 Ден.","9,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i5-11400-26-ghz-up-to-46-ghz33517,CPU,Setec
Intel i5-13400F 2.5GHz BOX,"9,599 Ден.","9,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i5-13400f-25ghz-box33688,CPU,Setec
CPU AMD Ryzen 5 7500F AM5 TRAY,"9,799 Ден.","10,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=59387,CPU,Setec
CPU AMD Ryzen 7 5800X TRAY,"9,999 Ден.","10,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=59374,CPU,Setec
CPU AMD Ryzen 7 5800X no fan,"10,299 Ден.","11,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-7-5800x-no-fan34401,CPU,Setec
Intel i5-13400 2.5GHz BOX,"10,590 Ден.","11,599 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/intel-i5-13400-25ghz-box33675,CPU,Setec
Intel i5-14400 BOX LGA1700 20MB Cache 4.7GHz,"10,799 Ден.","11,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=59111,CPU,Setec
Intel i5-14400F BOX LGA 1700 20MB Cache 4.7GHz,"10,999 Ден.","11,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=58943,CPU,Setec
CPU AMD Ryzen 7 5700G 3.8GHz,"11,799 Ден.","12,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-7-5700g-38ghz-34411,CPU,Setec
CPU AMD Ryzen 5 7600X TRAY,"11,999 Ден.","13,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=57776,CPU,Setec
CPU AMD Ryzen 7 5700X  no fan Box,"11,999 Ден.","12,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-7-5700x-box34423,CPU,Setec
CPU AMD Ryzen 5 7600X no fan Box,"12,299 Ден.","14,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-5-7600x-no-fan-box34418,CPU,Setec
CPU AMD Ryzen 5 8600G Box Fan included,"12,999 Ден.","13,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори/cpu-amd-ryzen-5-8600g-box-fan-included57454,CPU,Setec
Intel i7-11700K 3.6 GHz up to 5.0 GHz,"12,999 Ден.","14,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=58543,CPU,Setec
CPU AMD Ryzen 7 5700X 3D TRAY,"13,999 Ден.","15,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=59234,CPU,Setec
CPU AMD Ryzen 7 5700X 3D no fan Box,"14,799 Ден.","14,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/процесори?product_id=59069,CPU,Setec
