Title,Manufacturer,Price,Code,Warranty,Link,Category,Description,Image,Store
"ASUS PROART B760-CREATOR, Intel B760, Socket 1700, 4 slota, ATX",ASUS,14990, , ,https://gjirafa50.mk/pllake-ame-asus-proart-b760-creator-intel-b760-socket-1700-4-slota-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/9a37dc79-38f9-4ea5-81ba-39d548249f8c/9a37dc79-38f9-4ea5-81ba-39d548249f8c.jpeg?w=190,Zhirafa50
"Asus PRIME B650M-K, 96GB,", ,8090, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b650m-k-96gb,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/98601a2d-d905-4d46-9f9c-87a2708502d5/98601a2d-d905-4d46-9f9c-87a2708502d5.jpeg?w=190,Zhirafa50
ASRock B760 PRO RS/D4,ASRock,7690, , ,https://gjirafa50.mk/pllake-ame-asrock-b760-pro-rsd4,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/fdde9647-ac4d-41d8-a3f1-8b48c52b32c4/fdde9647-ac4d-41d8-a3f1-8b48c52b32c4.jpeg?w=190,Zhirafa50
"ASUS PRO H610M-C D4-CSM, Intel H610, Socket 1700, 2 slot, Micro ATX",ASUS,7590, , ,https://gjirafa50.mk/pllake-ame-asus-pro-h610m-c-d4-csm-intel-h610-socket-1700-2-slot-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/6dc1124d-30c9-4e04-a3cf-28f1b7269360/6dc1124d-30c9-4e04-a3cf-28f1b7269360.jpeg?w=190,Zhirafa50
"MSI MPG, Mini ITX, Intel B760, Wi-Fi 6",MSI,13990, , ,https://gjirafa50.mk/pllake-ame-msi-mpg-mini-itx-intel-b760-wi-fi-6,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/2584ab62-fe94-4d8d-bf51-0cacee7dc0bf/2584ab62-fe94-4d8d-bf51-0cacee7dc0bf.jpeg?w=190,Zhirafa50
ASRock Z790 LIVEMIXER,ASRock,13990, , ,https://gjirafa50.mk/pllake-ame-asrock-z790-livemixer,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/8b66df59-21a0-4e0a-a3cd-17466af013ef/8b66df59-21a0-4e0a-a3cd-17466af013ef.jpeg?w=190,Zhirafa50
Gigabyte B760 DS3H AX DDR4,Gigabyte,7890, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b760-ds3h-ax-ddr4-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a0b7aad5-7a93-46ff-9dfa-91df4f411ecb/a0b7aad5-7a93-46ff-9dfa-91df4f411ecb.jpeg?w=190,Zhirafa50
"ASUS PRIME H610I-PLUS D4-CSM, Intel H610, Socket 1700, 2 slota, Mini ITX",ASUS,8790, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610i-plus-d4-csm-intel-h610-socket-1700-2-slota-mini-itx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a91babaa-233b-4f18-8ebf-1dbdced4824c/a91babaa-233b-4f18-8ebf-1dbdced4824c.jpeg?w=190,Zhirafa50
Asus PRIME B760M-K, ,7090, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b760m-k-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/bbd397da-3958-418b-9346-c78c1da24bb0/bbd397da-3958-418b-9346-c78c1da24bb0.jpeg?w=190,Zhirafa50
Pllakë Amë Asus ROG STRIX B760-A GAMING WiFi, ,14990, , ,https://gjirafa50.mk/pllake-ame-asus-rog-strix-b760-a-gaming-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/23c7fb61-71d8-48e7-bd3a-54565dec5b83/23c7fb61-71d8-48e7-bd3a-54565dec5b83.jpeg?w=190,Zhirafa50
Gigabyte A520M DS3H V2,Gigabyte,4190, , ,https://gjirafa50.mk/pllake-ame-gigabyte-a520m-ds3h-v2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/f08fb339-4249-48c9-b386-93e84c4eecb9/f08fb339-4249-48c9-b386-93e84c4eecb9.jpeg?w=190,Zhirafa50
ASRock Z790 PG RIPTIDE,ASRock,13990, , ,https://gjirafa50.mk/pllake-ame-asrock-z790-pg-riptide,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/fb9a5e0d-bf08-4283-85e7-9dd84a4558a4/fb9a5e0d-bf08-4283-85e7-9dd84a4558a4.jpeg?w=190,Zhirafa50
Pllakë Amë ASRock B760M PG SONIC WiFi,ASRock,9390, , ,https://gjirafa50.mk/pllake-ame-asrock-b760m-pg-sonic-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/35b2aa6e-971f-4211-b62d-c408e0f4bfa0/35b2aa6e-971f-4211-b62d-c408e0f4bfa0.jpeg?w=190,Zhirafa50
ASRock B760M-ITX/D4 WIFI,ASRock,9090, , ,https://gjirafa50.mk/pllake-ame-asrock-b760m-itxd4-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/83c2bcd2-6d4c-4b54-a3e0-d27e9d1b95f6/83c2bcd2-6d4c-4b54-a3e0-d27e9d1b95f6.jpeg?w=190,Zhirafa50
Gigabyte B650 GAMING X AX V2,Gigabyte,10990, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b650-gaming-x-ax-v2-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/abefd90c-4bf1-4d5c-9969-8ee4ed705b87/abefd90c-4bf1-4d5c-9969-8ee4ed705b87.jpeg?w=190,Zhirafa50
"ASUS Prime B760M-A D4-CSM, Intel B760, Socket 1700, 4 slota, ATX",ASUS,6990, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b760m-a-d4-csm-intel-b760-socket-1700-4-slota-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/f124a0ce-9a73-4e7a-b065-23befafe2bbb/f124a0ce-9a73-4e7a-b065-23befafe2bbb.jpeg?w=190,Zhirafa50
Asus PRIME H610I-PLUS-CSM, ,9490, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610i-plus-csm,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/1d2f8676-db48-4702-bef4-f365fade7ec0/1d2f8676-db48-4702-bef4-f365fade7ec0.jpeg?w=190,Zhirafa50
Pllakë Amë Asus PRIME H610M-E-CSM, ,8490, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610m-e-csm,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/3410f107-f82c-4cd5-95f8-018fabbc2c04/3410f107-f82c-4cd5-95f8-018fabbc2c04.jpeg?w=190,Zhirafa50
GIGABYTE Mainboard, ,3990, , ,https://gjirafa50.mk/pllake-ame-gigabyte-mainboard,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/3b98afcc-a9c8-4b1f-880c-24ea21f3e2c6/3b98afcc-a9c8-4b1f-880c-24ea21f3e2c6.jpeg?w=190,Zhirafa50
"ASUS Prime A620M-4, AMD A620, Socket AM5, 2 slota, Micro ATX",ASUS,5490, , ,https://gjirafa50.mk/pllake-ame-asus-prime-a620m-4-amd-a620-socket-am5-2-slota-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/3abd1a22-d1d3-4ef7-a407-112824083079/3abd1a22-d1d3-4ef7-a407-112824083079.jpeg?w=190,Zhirafa50
MSI Z790 Project Zero,MSI,23990, , ,https://gjirafa50.mk/pllake-ame-msi-z790-project-zero,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/152c3bf2-1188-45e5-a795-bae90f2fdc70/152c3bf2-1188-45e5-a795-bae90f2fdc70.jpeg?w=190,Zhirafa50
"Asus PRIME B760-Plus, Intel B760, Socket 1700, 4 слота, ATX",Intel,7990, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b760-plus-intel-b760-socket-1700-4-slota-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/dce13d4f-214b-4206-9650-d9bfd778d22c/dce13d4f-214b-4206-9650-d9bfd778d22c.jpeg?w=190,Zhirafa50
Pllakë Amë ASRock B650M PG LIGHTNING,ASRock,7790, , ,https://gjirafa50.mk/pllake-ame-asrock-b650m-pg-lightning,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e7d460a5-14e0-468b-b3e5-51880b149ff9/e7d460a5-14e0-468b-b3e5-51880b149ff9.jpeg?w=190,Zhirafa50
"Asus PRO, H610T, D4-CSM", ,7590, , ,https://gjirafa50.mk/pllake-ame-asus-pro-h610t-d4-csm,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/bd9b2cd8-dbf8-4537-87cf-915099fed315/bd9b2cd8-dbf8-4537-87cf-915099fed315.jpeg?w=190,Zhirafa50
Asus PROART B760-CREATOR WIFI, ,13990, , ,https://gjirafa50.mk/pllake-ame-asus-proart-b760-creator-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/60735f25-d4fe-4c6b-920d-c7a7cb95e8ec/60735f25-d4fe-4c6b-920d-c7a7cb95e8ec.jpeg?w=190,Zhirafa50
ASRock B760M PRO RS,ASRock,8090, , ,https://gjirafa50.mk/pllake-ame-asrock-b760m-pro-rs,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a933a751-9089-4d63-b4ae-a79db506f1f9/a933a751-9089-4d63-b4ae-a79db506f1f9.jpeg?w=190,Zhirafa50
